#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	proteinID
73	YAL012W	chri	+	130798	131983	130798	131983	1	130798,	131983,	CYS3
585	YAL055W	chri	+	42176	42719	42176	42719	1	42176,	42719,	PEX22
585	YAL063C	chri	-	23999	27968	23999	27968	1	23999,	27968,	FLO9
585	YAL064W	chri	+	21565	21850	21565	21850	1	21565,	21850,	YAL064W
585	YAL041W	chri	+	62839	65404	62839	65404	1	62839,	65404,	CDC24
585	YAL049C	chri	-	51854	52595	51854	52595	1	51854,	52595,	AIM2
585	YAL031C	chri	-	84748	87031	84748	87031	1	84748,	87031,	GIP4
585	YAL034C-B	chri	-	79488	79842	79488	79842	1	79488,	79842,	YAL034C-B
585	YAL025C	chri	-	100224	101145	100224	101145	1	100224,	101145,	MAK16
585	YAL040C	chri	-	65777	67520	65777	67520	1	65777,	67520,	CLN3
585	YAL056C-A	chri	-	38695	39046	38695	39046	1	38695,	39046,	YAL056C-A
585	YAL034W-A	chri	+	79717	80587	79717	80587	1	79717,	80587,	MTW1
585	YAL048C	chri	-	52800	54789	52800	54789	1	52800,	54789,	GEM1
585	YAL013W	chri	+	129269	130487	129269	130487	1	129269,	130487,	DEP1
585	YAL067W-A	chri	+	2479	2707	2479	2707	1	2479,	2707,	YAL067W-A
585	YAL032C	chri	-	83334	84474	83334	84474	1	83334,	84474,	PRP45
585	YAL024C	chri	-	101564	105872	101564	105872	1	101564,	105872,	LTE1
585	YAL038W	chri	+	71785	73288	71785	73288	1	71785,	73288,	CDC19
585	YAL026C	chri	-	95629	99697	95629	99697	1	95629,	99697,	DRS2
585	YAL047C	chri	-	54988	56857	54988	56857	1	54988,	56857,	SPC72
585	YAL014C	chri	-	128251	129019	128251	129019	1	128251,	129019,	SYN8
585	YAL066W	chri	+	10090	10399	10090	10399	1	10090,	10399,	YAL066W
585	YAL047W-A	chri	+	54583	54913	54583	54913	1	54583,	54913,	YAL047W-A
585	YAL037W	chri	+	74019	74823	74019	74823	1	74019,	74823,	YAL037W
585	YAL054C	chri	-	42880	45022	42880	45022	1	42880,	45022,	ACS1
585	YAL046C	chri	-	57028	57385	57028	57385	1	57028,	57385,	AIM1
585	YAL039C	chri	-	68715	69525	68715	69525	1	68715,	69525,	CYC3
585	YAL068W-A	chri	+	537	792	537	792	1	537,	792,	YAL068W-A
585	YAL065C	chri	-	11564	11951	11564	11951	1	11564,	11951,	YAL065C
585	YAL015C	chri	-	126902	128102	126902	128102	1	126902,	128102,	NTG1
585	YAL064W-B	chri	+	12045	12426	12045	12426	1	12045,	12426,	YAL064W-B
585	YAL030W	chri	+	87285	87752	87285	87752	2	87285,87500,	87387,87752,	SNC1
585	YAL016C-A	chri	-	124754	125069	124754	125069	1	124754,	125069,	YAL016C-A
585	YAL016C-B	chri	-	124306	124492	124306	124492	1	124306,	124492,	YAL016C-B
585	YAL059C-A	chri	-	36495	36918	36495	36918	1	36495,	36918,	YAL059C-A
585	YAL026C-A	chri	-	95385	95823	95385	95823	1	95385,	95823,	YAL026C-A
585	YAL060W	chri	+	35154	36303	35154	36303	1	35154,	36303,	BDH1
585	YAL016W	chri	+	124878	126786	124878	126786	1	124878,	126786,	TPD3
585	YAL045C	chri	-	57487	57796	57487	57796	1	57487,	57796,	YAL045C
585	YAL028W	chri	+	92899	94486	92899	94486	1	92899,	94486,	FRT2
585	YAL051W	chri	+	48563	51707	48563	51707	1	48563,	51707,	OAF1
585	YAL019W	chri	+	114918	118314	114918	118314	1	114918,	118314,	FUN30
585	YAL042C-A	chri	-	61230	61608	61230	61608	1	61230,	61608,	YAL042C-A
585	YAL064C-A	chri	-	13362	13743	13362	13743	1	13362,	13743,	TDA8
585	YAL069W	chri	+	334	649	334	649	1	334,	649,	YAL069W
585	YAL059W	chri	+	36508	37147	36508	37147	1	36508,	37147,	ECM1
585	YAL021C	chri	-	110845	113359	110845	113359	1	110845,	113359,	CCR4
585	YAL037C-A	chri	-	73425	73518	73425	73518	1	73425,	73518,	YAL037C-A
585	YAL037C-B	chri	-	72325	73300	72325	73300	1	72325,	73300,	YAL037C-B
585	YAL017W	chri	+	120224	124295	120224	124295	1	120224,	124295,	PSK1
585	YAL067C	chri	-	7234	9016	7234	9016	1	7234,	9016,	SEO1
585	YAL044C	chri	-	57949	58462	57949	58462	1	57949,	58462,	GCV3
585	YAL056W	chri	+	39258	41901	39258	41901	1	39258,	41901,	GPB2
585	YAL031W-A	chri	+	84668	84977	84668	84977	1	84668,	84977,	YAL031W-A
