ORF,5_UTR
YAL003W,21
YAL005C,62
YAL008W,63
YAL012W,56
YAL013W,34
YAL014C,40
YAL016W,97
YAL017W,367
YAL018C,50
YAL020C,4
YAL023C,120
YAL025C,22
YAL027W,58
YAL030W,22
YAL031C,36
YAL033W,5
YAL034C,39
YAL036C,32
YAL038W,27
YAL039C,44
YAL042W,16
YAL044C,9
YAL044W-A,12
YAL047C,29
YAL049C,27
YAL053W,155
YAL054C,60
YAL055W,13
YAL060W,48
YAL061W,89
YAL066W,594
YAL067C,250
YAR002C-A,17
YAR003W,50
YAR007C,69
YAR015W,50
YAR027W,59
YAR028W,56
YAR030C,289
YAR033W,42
YAR035W,56
YBL001C,48
YBL002W,28
YBL003C,27
YBL004W,64
YBL006C,26
YBL010C,20
YBL015W,77
YBL018C,31
YBL019W,60
YBL021C,28
YBL023C,53
YBL025W,112
YBL026W,42
YBL027W,19
YBL028C,39
YBL029C-A,69
YBL030C,121
YBL032W,76
YBL033C,15
YBL034C,62
YBL036C,39
YBL038W,71
YBL039W-B,115
YBL040C,30
YBL041W,22
YBL043W,133
YBL045C,187
YBL049W,176
YBL050W,77
YBL052C,228
YBL054W,131
YBL056W,111
YBL058W,31
YBL059C-A,8
YBL064C,32
YBL068W,47
YBL069W,56
YBL071W-A,46
YBL072C,28
YBL075C,24
YBL076C,8
YBL078C,39
YBL080C,16
YBL081W,303
YBL082C,41
YBL084C,121
YBL086C,115
YBL087C,20
YBL091C,22
YBL092W,365
YBL095W,13
YBL098W,23
YBL099W,296
YBL101C,284
YBL102W,108
YBR003W,32
YBR005W,31
YBR006W,116
YBR009C,39
YBR010W,28
YBR011C,31
YBR014C,74
YBR015C,93
YBR016W,42
YBR018C,74
YBR022W,68
YBR024W,92
YBR025C,121
YBR026C,3
YBR031W,16
YBR034C,29
YBR035C,27
YBR036C,48
YBR037C,29
YBR039W,36
YBR040W,66
YBR041W,35
YBR042C,67
YBR043C,102
YBR045C,140
YBR046C,21
YBR047W,18
YBR048W,29
YBR049C,90
YBR050C,128
YBR052C,61
YBR053C,24
YBR054W,314
YBR056W,70
YBR056W-A,44
YBR057C,78
YBR058C-A,44
YBR059C,136
YBR062C,21
YBR063C,67
YBR066C,56
YBR067C,51
YBR068C,73
YBR069C,105
YBR070C,59
YBR071W,189
YBR072W,74
YBR074W,23
YBR076W,208
YBR077C,44
YBR078W,176
YBR080C,28
YBR082C,65
YBR084C-A,23
YBR084W,38
YBR085C-A,29
YBR086C,242
YBR087W,11
YBR088C,62
YBR089C-A,53
YBR091C,41
YBR093C,41
YBR096W,82
YBR101C,50
YBR103W,117
YBR104W,60
YBR105C,54
YBR106W,33
YBR109C,44
YBR111W-A,13
YBR118W,22
YBR119W,53
YBR121C,89
YBR122C,40
YBR123C,68
YBR126C,95
YBR127C,55
YBR129C,32
YBR130C,47
YBR132C,94
YBR135W,27
YBR137W,62
YBR139W,11
YBR142W,47
YBR143C,54
YBR145W,52
YBR146W,63
YBR147W,32
YBR148W,44
YBR149W,25
YBR151W,127
YBR153W,64
YBR154C,123
YBR157C,76
YBR159W,41
YBR162W-A,7
YBR164C,135
YBR166C,20
YBR167C,332
YBR168W,87
YBR169C,60
YBR171W,26
YBR172C,111
YBR173C,22
YBR176W,77
YBR177C,51
YBR180W,62
YBR181C,49
YBR183W,55
YBR185C,19
YBR186W,55
YBR188C,44
YBR189W,26
YBR191W,22
YBR193C,382
YBR194W,90
YBR195C,46
YBR196C,9
YBR197C,20
YBR198C,78
YBR199W,85
YBR201C-A,196
YBR201W,122
YBR203W,226
YBR204C,41
YBR205W,47
YBR207W,55
YBR208C,459
YBR210W,163
YBR212W,414
YBR213W,51
YBR214W,79
YBR216C,12
YBR217W,59
YBR218C,116
YBR221C,195
YBR230C,23
YBR230W-A,3
YBR231C,53
YBR233W,128
YBR233W-A,41
YBR234C,32
YBR235W,58
YBR237W,288
YBR243C,17
YBR249C,90
YBR250W,31
YBR251W,59
YBR253W,61
YBR255C-A,37
YBR256C,8
YBR257W,290
YBR259W,46
YBR260C,3
YBR262C,44
YBR264C,15
YBR265W,32
YBR267W,14
YBR268W,24
YBR269C,21
YBR270C,272
YBR272C,20
YBR273C,31
YBR274W,36
YBR276C,125
YBR279W,55
YBR280C,3
YBR281C,414
YBR282W,150
YBR283C,500
YBR284W,370
YBR285W,137
YBR286W,38
YBR287W,33
YBR290W,18
YBR294W,106
YBR296C,64
YBR297W,32
YBR298C,426
YCL001W,33
YCL002C,37
YCL005W-A,25
YCL008C,11
YCL009C,10
YCL010C,25
YCL012C,34
YCL017C,81
YCL018W,42
YCL021W-A,85
YCL025C,31
YCL028W,27
YCL030C,60
YCL034W,116
YCL035C,64
YCL037C,67
YCL038C,56
YCL040W,29
YCL043C,37
YCL044C,38
YCL045C,4
YCL048W,55
YCL048W-A,53
YCL049C,70
YCL051W,295
YCL054W,574
YCL055W,24
YCL057C-A,36
YCL057W,70
YCL064C,17
YCL073C,525
YCR002C,45
YCR003W,22
YCR004C,185
YCR005C,55
YCR008W,445
YCR009C,61
YCR010C,112
YCR011C,140
YCR012W,40
YCR015C,20
YCR018C,156
YCR020C,198
YCR020C-A,37
YCR021C,103
YCR024C-A,74
YCR026C,59
YCR027C,209
YCR028C,106
YCR028C-A,64
YCR030C,510
YCR031C,21
YCR033W,204
YCR034W,26
YCR035C,18
YCR036W,37
YCR039C,20
YCR043C,39
YCR045C,61
YCR046C,4
YCR051W,9
YCR053W,41
YCR054C,55
YCR059C,19
YCR060W,20
YCR061W,30
YCR067C,102
YCR069W,121
YCR071C,45
YCR073W-A,19
YCR075W-A,30
YCR076C,20
YCR082W,40
YCR083W,35
YCR086W,78
YCR088W,34
YCR094W,63
YCR095C,38
YCR097W,12
YCR098C,59
YCR106W,1
YDL002C,65
YDL004W,34
YDL005C,15
YDL006W,384
YDL007C-A,13
YDL007W,42
YDL008W,21
YDL010W,28
YDL012C,20
YDL013W,136
