Gene,MFE_wt,MFE_opt,ENS_wt,ENS_opt
ADE2,-436.5,-513.8,-470.95,-547.88
CDC10,-219.1,-233.1,-241.74,-252.97
GRX5,-143,-155.9,-157.35,-168.43
HIS3,-223,-220.9,-236.63,-184.27
NBP35,-309.17,-354.7,-332.86,-380.01
RAS2,-309.7,-309.4,-332.94,-331.65
SUP35,-539.7,-580.3,-583.03,-618.1
