ORF,Gene Name,Molecular Weight (Da),Length (Amino Acids),Protein Abundance (molecules per cell),Protein decay rate (min-1),mRNA Abundance (molecules per cell)
YAL001C,TFC3,132107,1160,105,0.001459,0.9
YAL002W,VPS8,144961,1274,619,0.000891,0.4
YAL003W,EFB1,22627,206,190549,0.000891,14.9
YAL004W,,23739,215,0,,1.2
YAL005C,SSA1,69657,642,224317,0.009002,5.9
YAL007C,ERP2,24063,215,15265,0.014146,1
YAL008W,FUN14,22063,198,1748,0.02666,0.8
YAL009W,SPO7,30113,259,723,0.000891,0.6
YAL010C,MDM10,56250,493,1131,0.01612,0.5
YAL011W,SWC3,72514,625,1157,0.012378,0.4
YAL012W,CYS3,42542,394,57773,0.000891,4.4
YAL013W,DEP1,48671,420,0,,0.4
YAL014C,SYN8,29048,255,1754,0.000891,0.5
YAL015C,NTG1,45577,399,1474,0.000891,0.4
YAL016C-A,,11223,104,,,
YAL016C-B,,7405,61,,,
YAL016W,TPD3,70906,635,11973,0.003851,1.3
YAL017W,PSK1,152329,1356,812,0.231049,0.5
YAL018C,,37050,325,0,,0.4
YAL019W,FUN30,128506,1131,2469,0.024755,0.5
YAL019W-A,,21605,189,,,
YAL020C,ATS1,36481,333,0,,0.3
YAL021C,CCR4,94669,837,2228,0.003094,0.7
YAL022C,FUN26,58317,517,5858,0.231049,0.6
YAL023C,PMT2,86869,759,3592,0.011363,1.4
YAL024C,LTE1,163149,1435,256,0.004814,0.6
YAL025C,MAK16,35694,306,0,,1.1
YAL026C,DRS2,153843,1355,1606,0.034657,0.5
YAL026C-A,,17438,145,,,
YAL027W,,29769,261,982,0.019254,0.6
YAL028W,FRT2,58749,528,3922,0.000891,0.3
YAL029C,MYO4,169342,1471,1558,0.000891,0.8
YAL030W,SNC1,13201,117,0,,1.1
YAL031C,GIP4,86635,760,191,0.040773,0.4
YAL031W-A,,11414,102,,,
YAL032C,PRP45,42482,379,999,0.001462,0.3
YAL033W,POP5,19573,173,2798,0.014748,0.8
YAL034C,FUN19,47068,413,0,,0.3
YAL034C-B,,13264,117,,,
YAL034W-A,MTW1,33243,289,1662,0,0.5
YAL035W,FUN12,112268,1002,21626,0.002159,3.2
YAL036C,RBG1,40701,369,7542,0.01216,2.1
YAL037C-A,,3447,30,,,
YAL037C-B,,35788,324,,,
YAL037W,,30457,267,0,,0.5
YAL038W,CDC19,54544,500,407514,0,27.6
YAL039C,CYC3,30081,269,1937,0.346574,0.9
YAL040C,CLN3,64990,580,66,0.000891,0.6
YAL041W,CDC24,96939,854,1146,0.009495,0.6
YAL042C-A,,13704,125,,,
YAL042W,ERV46,46235,415,0,,1.6
YAL043C,PTA1,88472,785,2191,0.000891,0.5
YAL044C,GCV3,18795,170,4595,0.000891,4.5
YAL044W-A,,12537,110,200,0.000891,
YAL045C,,11648,102,0,,1.2
YAL046C,,13356,118,217,0.000006,0.9
YAL047C,SPC72,72104,622,537,0,0.6
YAL047W-A,,12154,109,,,
YAL048C,GEM1,75149,662,0,,0.3
YAL049C,,27089,246,1510,0.001238,1.4
YAL051W,OAF1,118862,1047,1464,0.000891,0.6
YAL053W,FLC2,87462,783,348,0.023902,1.1
YAL054C,ACS1,79140,713,2430,0.023902,0.2
YAL055W,PEX22,19877,180,217,0.009902,0.6
YAL056C-A,,12969,116,,,
YAL056W,GPB2,98611,880,2101,,0.6
YAL058W,CNE1,56967,502,3999,0.009763,0.8
YAL059C-A,,15839,140,,,
YAL059W,ECM1,23935,212,2454,0.019254,1.4
YAL060W,BDH1,41538,382,7048,0.010193,1
YAL061W,,46098,417,1596,0.000891,0.6
YAL062W,GDH3,49627,457,0,,0.3
YAL063C,FLO9,138072,1322,0,,0.4
YAL063C-A,,11308,96,,,
YAL064C-A,,13885,126,0,,0.9
YAL064W,,12772,108,0,,1.1
YAL064W-B,,13273,126,0,,0.7
YAL065C,,12919,128,0,,0.3
YAL066W,,12113,102,0,,1.5
